P.No,Title,URL,Difficulty,Category,Expected TC,My TC,Solved
13,Roman to Integer,https://leetcode.com/problems/roman-to-integer/,Easy,String,O(n),,False
73,Set Matrix Zeroes,https://leetcode.com/problems/set-matrix-zeroes/,Medium,Arrays,O(m * n),,False
3,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,Medium,Arrays Part-IV,O(n),,False
84,Largest Rectangle in Histogram,https://leetcode.com/problems/largest-rectangle-in-histogram/,Hard,Stack and Queue Part-II,O(n),,False
155,Min Stack,https://leetcode.com/problems/min-stack/,Medium,Stack and Queue Part-II,O(1),,False
234,Palindrome Linked List,https://leetcode.com/problems/palindrome-linked-list/,Easy,Linked List Part-II,O(n),,False
1520,Maximum Number of Non-Overlapping Substrings,https://leetcode.com/problems/maximum-number-of-non-overlapping-substrings/,Hard,Greedy Algorithm,O(n),,False
455,Assign Cookies,https://leetcode.com/problems/assign-cookies/,Easy,Greedy Algorithm,O(n log n),,False
103,Binary Tree Zigzag Level Order Traversal,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/,Medium,Binary Tree part-II,O(n),,False
876,Middle of the Linked List,https://leetcode.com/problems/middle-of-the-linked-list/,Easy,Linked List,O(n),,False
285,Inorder Successor in BST,https://leetcode.com/problems/inorder-successor-in-bst/,Medium,Binary Search Tree,O(h),,False
31,Next Permutation,https://leetcode.com/problems/next-permutation/,Medium,Arrays,O(n),,False
1312,Minimum Insertion Steps to Make a String Palindrome,https://leetcode.com/problems/minimum-insertion-steps-to-make-a-string-palindrome/,Hard,String Part-II,O(n^2),,False
653,Two Sum IV - Input is a BST,https://leetcode.com/problems/two-sum-iv-input-is-a-bst/,Easy,Binary Search Tree Part-II,O(n),,False
42,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/,Hard,Linked List and Arrays,O(n),,False
128,Longest Consecutive Sequence,https://leetcode.com/problems/longest-consecutive-sequence/,Medium,Arrays Part-IV,O(n),,False
60,Permutation Sequence,https://leetcode.com/problems/permutation-sequence/,Hard,Recursion,O(n^2),,False
151,Reverse Words in a String,https://leetcode.com/problems/reverse-words-in-a-string/,Medium,String,O(n),,False
88,Merge Sorted Array,https://leetcode.com/problems/merge-sorted-array/,Easy,Arrays Part-II,O(n + m),,False
38,Count and Say,https://leetcode.com/problems/count-and-say/,Medium,String Part-II,O(2^n),,False
421,Maximum XOR of Two Numbers in an Array,https://leetcode.com/problems/maximum-xor-of-two-numbers-in-an-array/,Medium,Trie,O(n),,False
101,Symmetric Tree,https://leetcode.com/problems/symmetric-tree/,Easy,Binary Tree part-III,O(n),,False
18,4Sum,https://leetcode.com/problems/4sum/,Medium,Arrays Part-IV,O(n^3),,False
51,N-Queens,https://leetcode.com/problems/n-queens/,Hard,Recursion and Backtracking,O(n!),,False
50,"Pow(x, n)",https://leetcode.com/problems/powx-n/,Medium,Arrays Part-III,O(log n),,False
215,Kth Largest Element in an Array,https://leetcode.com/problems/kth-largest-element-in-an-array/,Medium,Heaps,O(n) / O(n log k),,False
15,3Sum,https://leetcode.com/problems/3sum/,Medium,Linked List and Arrays,O(n^2),,False
145,Binary Tree Postorder Traversal,https://leetcode.com/problems/binary-tree-postorder-traversal/,Easy,Binary Tree,O(n),,False
121,Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Easy,Arrays,O(n),,False
1,Two Sum,https://leetcode.com/problems/two-sum/,Easy,Arrays Part-IV,O(n),,False
703,Kth Largest Element in a Stream,https://leetcode.com/problems/kth-largest-element-in-a-stream/,Easy,Binary Trees[Miscellaneous],O(\log k),,False
142,Linked List Cycle II,https://leetcode.com/problems/linked-list-cycle-ii/,Medium,Linked List Part-II,O(n),,False
287,Find the Duplicate Number,https://leetcode.com/problems/find-the-duplicate-number/,Medium,Arrays Part-II,O(n),,False
108,Convert Sorted Array to Binary Search Tree,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree/,Easy,Binary Search Tree,O(n),,False
686,Repeated String Match,https://leetcode.com/problems/repeated-string-match/,Medium,String,O(n + m),,False
48,Rotate Image,https://leetcode.com/problems/rotate-image/,Medium,Arrays Part-II,O(n^2),,False
102,Binary Tree Level Order Traversal,https://leetcode.com/problems/binary-tree-level-order-traversal/,Medium,Binary Tree part-II,O(n),,False
1707,Maximum XOR With an Element From Array,https://leetcode.com/problems/maximum-xor-with-an-element-from-array/,Hard,Trie,O(N \log N + Q \log Q),,False
5,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/,Medium,String,O(n) / O(n^2),,False
199,Binary Tree Right Side View,https://leetcode.com/problems/binary-tree-right-side-view/,Medium,Binary Tree,O(n),,False
322,Coin Change,https://leetcode.com/problems/coin-change/,Medium,Dynamic Programming Part-II,O(S * n),,False
2,Add Two Numbers,https://leetcode.com/problems/add-two-numbers/,Medium,Linked List,"O(max(n, m))",,False
297,Serialize and Deserialize Binary Tree,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/,Hard,Binary Search Tree Part-II,O(n),,False
64,Minimum Path Sum,https://leetcode.com/problems/minimum-path-sum/,Medium,Dynamic Programming Part-II,O(m * n),,False
206,Reverse Linked List,https://leetcode.com/problems/reverse-linked-list/,Easy,Linked List,O(n),,False
785,Is Graph Bipartite?,https://leetcode.com/problems/is-graph-bipartite/,Medium,Graph,O(V + E),,False
901,Online Stock Span,https://leetcode.com/problems/online-stock-span/,Medium,Stack and Queue Part-II,O(1),,False
545,Boundary of Binary Tree,https://leetcode.com/problems/boundary-of-binary-tree/,Medium,Binary Tree part-II,O(n),,False
75,Sort Colors,https://leetcode.com/problems/sort-colors/,Medium,Arrays,O(n),,False
46,Permutations,https://leetcode.com/problems/permutations/,Medium,Recursion and Backtracking,O(n * n!),,False
40,Combination Sum II,https://leetcode.com/problems/combination-sum-ii/,Medium,Recursion,O(2^n),,False
124,Binary Tree Maximum Path Sum,https://leetcode.com/problems/binary-tree-maximum-path-sum/,Hard,Binary Tree part-III,O(n),,False
100,Same Tree,https://leetcode.com/problems/same-tree/,Easy,Binary Tree part-II,O(n),,False
25,Reverse Nodes in k-Group,https://leetcode.com/problems/reverse-nodes-in-k-group/,Hard,Linked List Part-II,O(n),,False
152,Maximum Product Subarray,https://leetcode.com/problems/maximum-product-subarray/,Medium,Dynamic Programming,O(n),,False
347,Top K Frequent Elements,https://leetcode.com/problems/top-k-frequent-elements/,Medium,Heaps,O(n) / O(n log k),,False
169,Majority Element,https://leetcode.com/problems/majority-element/,Easy,Arrays Part-III,O(n),,False
225,Implement Stack using Queues,https://leetcode.com/problems/implement-stack-using-queues/,Easy,Stack and Queue,O(n) push / O(1) pop,,False
485,Max Consecutive Ones,https://leetcode.com/problems/max-consecutive-ones/,Easy,Linked List and Arrays,O(n),,False
295,Find Median from Data Stream,https://leetcode.com/problems/find-median-from-data-stream/,Hard,Heaps,O(log n),,False
230,Kth Smallest Element in a BST,https://leetcode.com/problems/kth-smallest-element-in-a-bst/,Medium,Binary Search Tree Part-II,O(h + k),,False
110,Balanced Binary Tree,https://leetcode.com/problems/balanced-binary-tree/,Easy,Binary Tree part-II,O(n),,False
116,Populating Next Right Pointers in Each Node,https://leetcode.com/problems/populating-next-right-pointers-in-each-node/,Medium,Binary Search Tree,O(n),,False
